,organizationName,employees,headquarters,ceoName,industries,yearFounded,state,rank
573,Cook Medical,12000.0, Indiana,Carl  Cook,Health Care,1963.0,Indiana,31
574,Cooper University Health Care,8500.0, New Jersey,Kevin M. O'Dowd Anthony J. Mazzarelli,Health Care,1887.0,New Jersey,33
575,Cornell University,18000.0, New York,Martha E. Pollack,Education,1865.0,New York,7
576,Corning,61000.0, New York,Wendell P. Weeks,"Engineering, Manufacturing",1851.0,New York,40
577,Corning,61000.0, New York,Wendell P. Weeks,"Engineering, Manufacturing",1851.0,North Carolina,62
578,Corteva,21000.0, Delaware,Chuck Magro,"Construction, Oil & Gas Operations, Mining and Chemicals",2019.0,Indiana,28
579,Corteva,21000.0, Delaware,Chuck Magro,"Construction, Oil & Gas Operations, Mining and Chemicals",2019.0,Iowa,20
580,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Arizona,8
581,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,California,4
582,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Colorado,1
583,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Florida,3
584,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Idaho,1
585,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Illinois,2
586,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Maryland,50
587,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Minnesota,2
588,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Nevada,1
589,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,New Jersey,5
590,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,New York,3
591,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Oregon,2
592,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Pennsylvania,4
593,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Texas,10
594,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Utah,2
595,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Virginia,49
596,Costco Wholesale,192000.0, Washington,W. Craig Jelinek,Retail and Wholesale,1983.0,Washington,1
597,County of San Diego,17954.0, California,Helen N. Robbins-Meyer,Government Services,1850.0,California,48
598,County of Santa Clara,21500.0, California,Jeffrey V. Smith,Government Services,1851.0,California,97
599,Coushatta Casino Resort,2600.0, Louisiana,Scott Sirois,"Travel, Hotels, Restaurants, Leisure",1994.0,Louisiana,23
600,Cox Enterprises,50000.0, Georgia,Alex Taylor,"Telecommunications Services, Cable Supplier",1898.0,Arizona,24
601,Cox Enterprises,50000.0, Georgia,Alex Taylor,"Telecommunications Services, Cable Supplier",1898.0,Georgia,63
602,Cox Enterprises,50000.0, Georgia,Alex Taylor,"Telecommunications Services, Cable Supplier",1898.0,Oklahoma,34
603,CoxHealth,12000.0, Missouri,Steven D. Edwards,Health Care,1906.0,Missouri,41
604,Cracker Barrel Old Country Store,70000.0, Tennessee,Sandra B. Cochran,"Travel, Hotels, Restaurants, Leisure",1969.0,Georgia,85
605,Cracker Barrel Old Country Store,70000.0, Tennessee,Sandra B. Cochran,"Travel, Hotels, Restaurants, Leisure",1969.0,North Carolina,78
606,Credit Suisse Group,50110.0, New York,Thomas Gottstein PhD,Banking and Financial Services,1856.0,North Carolina,89
607,Creighton University,2000.0, Nebraska,Daniel Hendrickson,Education,1878.0,Nebraska,17
608,Crete Carrier,6200.0, Nebraska,Tonn Ostergard,Transportation and Logistics,1937.0,Nebraska,19
609,Cummins,58000.0, Indiana,Tom Linebarger,"Engineering, Manufacturing",1919.0,Indiana,15
610,CUNY - City University of New York,39809.0, New York,Félix V. Matos Rodríguez,Education,1843.0,New York,61
611,CVS Health,300000.0, Rhode Island,Karen S. Lynch,Health Care,1963.0,Michigan,74
612,CVS Health,300000.0, Rhode Island,Karen S. Lynch,Health Care,1963.0,Minnesota,56
613,Dakota County,22217.0, Minnesota,Matt Smith,Government Services,1849.0,Minnesota,21
614,Dana-Farber Cancer Institute,6177.0, Massachusetts,Laurie H. Glimcher,Health Care,1947.0,Massachusetts,34
615,Danaher,80000.0, District of Columbia,Rainer M. Blair,"Engineering, Manufacturing",1984.0,Colorado,32
616,Danaher,80000.0, District of Columbia,Rainer M. Blair,"Engineering, Manufacturing",1984.0,Florida,66
617,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,Georgia,88
618,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,Kansas,25
619,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,Kentucky,47
620,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,Michigan,73
621,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,New Jersey,57
622,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,New York,78
623,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,North Carolina,100
624,Darden Restaurants,160000.0, Florida,Gene Lee,"Travel, Hotels, Restaurants, Leisure",1968.0,Ohio,59
625,Data Recognition Corporation,3750.0, Minnesota,Susan Shannon Engeleiter,Business Services & Supplies,1978.0,Minnesota,47
626,Davis School District,9310.0, Utah,Reid Newey,Education,1911.0,Utah,25
627,DaVita,55000.0, Colorado,Javier J. Rodriguez,Health Care,2000.0,Pennsylvania,64
628,DaVita,55000.0, Colorado,Javier J. Rodriguez,Health Care,2000.0,Tennessee,37
629,DaVita,55000.0, Colorado,Javier J. Rodriguez,Health Care,2000.0,Washington,53
630,Daymon,36100.0, Connecticut,Michael Taylor,Business Services & Supplies,1970.0,Connecticut,35
631,Dayton Children's,3200.0, Ohio,Deborah A. Feldmann,Health Care,1967.0,Ohio,1
632,Deaconess Health System,12000.0, Indiana,Shawn McCoy,Health Care,1892.0,Indiana,25
633,Deer Valley Unified School District,3894.0, Arizona,Curits Finch,Education,1934.0,Arizona,49
634,Delaware North ,55000.0, New York,Jerry Jacobs Jr. Lou Jacobs,Business Services & Supplies,1915.0,Ohio,37
635,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,Florida,44
636,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,Massachusetts,15
637,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,New York,33
638,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,Oklahoma,7
639,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,Tennessee,3
640,Dell Technologies,42560.0, Texas,Michael Dell,Electronics,1984.0,Texas,29
641,Deloitte,334800.0, New York,Punit Renjen,Professional Services,1845.0,Arizona,54
642,Deloitte,334800.0, New York,Punit Renjen,Professional Services,1845.0,Florida,86
643,Deloitte,334800.0, New York,Punit Renjen,Professional Services,1845.0,Georgia,68
644,Deloitte,334800.0, New York,Punit Renjen,Professional Services,1845.0,New York,85
645,Deloitte,334800.0, New York,Punit Renjen,Professional Services,1845.0,Virginia,30
646,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,California,19
647,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Colorado,48
648,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Florida,11
649,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Georgia,1
650,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Michigan,8
651,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Minnesota,13
652,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,New York,9
653,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Tennessee,36
654,Delta Air Lines,81000.0, Georgia,Ed Bastian,Transportation and Logistics,1924.0,Utah,6
655,Denso,168391.0, Michigan,Koji Arima,Automotive (Automotive and Suppliers),1949.0,Michigan,72
656,Denver Health,12000.0, Colorado,Robin Wittenstein,Health Care,1860.0,Colorado,18
657,U.S. Department of Energy,129987.0, District of Columbia,Jennifer M. Granholm,Government Services,1977.0,District of Columbia,5
658,U.S. Department of Energy,129987.0, District of Columbia,Jennifer M. Granholm,Government Services,1977.0,New Mexico,10
659,U.S. Department of Justice,117000.0, District of Columbia,Merrick B. Garland,Government Services,1870.0,Arizona,59
660,U.S. Department of Justice,117000.0, District of Columbia,Merrick B. Garland,Government Services,1870.0,Florida,43
661,U.S. Department of Justice,117000.0, District of Columbia,Merrick B. Garland,Government Services,1870.0,Georgia,58
662,U.S. Department of Justice,117000.0, District of Columbia,Merrick B. Garland,Government Services,1870.0,West Virginia,4
663,Des Moines Area Community College,5200.0, Iowa,Robert J. Denson,Education,1968.0,Iowa,26
664,"Desoto County School Dist, Hernando, MS",2119.0, Mississippi,,Education,1871.0,Mississippi,7
665,Devon Energy,1600.0, Oklahoma,Rick Muncrief,"Construction, Oil & Gas Operations, Mining and Chemicals",1971.0,Oklahoma,11
666,DHL,3500.0, Canada,Frank Appel,Transportation and Logistics,1969.0,Ohio,26
667,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,Arizona,66
668,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,Maryland,53
669,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,Massachusetts,60
670,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,Minnesota,55
671,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,Washington,43
672,DHS - Department of Homeland Security,240000.0, District of Columbia,Alejandro Mayorkas,Government Services,2002.0,West Virginia,5
673,Diageo,27783.0, Connecticut,Ivan M. Menezes,"Food, Soft Beverages, Alcohol & Tobacco",1997.0,Illinois,10
674,Dick's Sporting Goods,50800.0, Pennsylvania,Lauren R. Hobart,Retail and Wholesale,1948.0,Illinois,56
675,Dierbergs,4000.0, Missouri,Greg Dierberg,Retail and Wholesale,1854.0,Missouri,24
676,Digi-Key Electronics,31000.0, Minnesota,Dave Doherty,Electronics,1972.0,Minnesota,7
677,Dine Brands,3560.0, California,John Peyton,"Travel, Hotels, Restaurants, Leisure",2007.0,Ohio,100
678,Dine Brands,3560.0, California,John Peyton,"Travel, Hotels, Restaurants, Leisure",2007.0,West Virginia,17
679,Discover Financial Services,16700.0, Illinois,Roger C. Hochschild,Banking and Financial Services,1985.0,Arizona,27
680,Discover Financial Services,16700.0, Illinois,Roger C. Hochschild,Banking and Financial Services,1985.0,Illinois,19
681,Discover Financial Services,16700.0, Illinois,Roger C. Hochschild,Banking and Financial Services,1985.0,Utah,15
682,Dollar General,157000.0, Tennessee,Todd Vasos,Retail and Wholesale,1939.0,New Jersey,86
683,Dollywood,14284.0, Tennessee,Craig Ross,"Travel, Hotels, Restaurants, Leisure",1961.0,Tennessee,39
684,Dominion Energy,17100.0, Virginia,Robert M. Blue,Utilities,1983.0,Virginia,50
685,Domino's Pizza,10400.0, Michigan,Ritch Allison,"Travel, Hotels, Restaurants, Leisure",1960.0,Virginia,75
686,Dow,35700.0, Michigan,Jim Fitterling,"Construction, Oil & Gas Operations, Mining and Chemicals",1897.0,Michigan,30
687,Drexel University,9800.0, Pennsylvania,,Education,1891.0,Pennsylvania,35
688,Drury Hotels,5000.0, Missouri,Chuck Drury,"Travel, Hotels, Restaurants, Leisure",1973.0,Missouri,26
689,DTE Energy,10000.0, Michigan,Jerry Norcia,Utilities,1996.0,Michigan,10
690,Duke Energy,27605.0, North Carolina,Lynn J. Good,Utilities,1904.0,North Carolina,22
691,Duke University,43108.0, North Carolina,Vincent E. Price,Education,1924.0,North Carolina,10
692,Duke University Health System,23462.0, North Carolina,A. Eugene Washington,Health Care,1998.0,North Carolina,11
693,East Carolina University,2074.0, North Carolina,Philip Rogers,Education,1907.0,North Carolina,82
694,East Tennessee Children's Hospital,2040.0, Tennessee,Matt Schaefer ,Health Care,1937.0,Tennessee,4
695,East Tennessee State University,5200.0, Tennessee,Brian Noland,Education,1911.0,Tennessee,19
696,Eastern Bankshares,2059.0, Massachusetts,Robert F. Rivers,Banking and Financial Services,1818.0,Massachusetts,24
697,Eastern Kentucky University,5200.0, Kentucky,David T. McFaddin,Education,1906.0,Kentucky,37
698,Eastern Michigan University,1140.0, Michigan,James M Smith,Education,1849.0,Michigan,26
699,Eastman,14500.0, Tennessee,Mark J. Costa,"Construction, Oil & Gas Operations, Mining and Chemicals",1920.0,Tennessee,21
700,Eaton,85947.0, Ohio,Craig Arnold,"Engineering, Manufacturing",1911.0,North Carolina,43
701,ECMC,3000.0, New York,"Thomas J. Quatroche, Jr.",Health Care,1994.0,New York,74
702,Ecolab,47000.0, Minnesota,Christophe Beck,Business Services & Supplies,1923.0,Minnesota,5
703,Edison International,13003.0, California,Pedro J. Pizarro,Utilities,1886.0,California,90
704,Educational Testing Service,2500.0, New Jersey,Walt MacDonald,Business Services & Supplies,1947.0,New Jersey,51
705,EDUStaff,36100.0, Michigan,Clark Galloway,Business Services & Supplies,2010.0,Michigan,46
706,Edward-Elmhurst Health,7700.0, Illinois,"Gerald \J.P.\"" Gallagher",Health Care,1907.0,Illinois,48
707,Edward Jones,50000.0, Missouri,Penny Pennington,Banking and Financial Services,1922.0,Alabama,20
708,Edward Jones,50000.0, Missouri,Penny Pennington,Banking and Financial Services,1922.0,Iowa,16
709,Edward Jones,50000.0, Missouri,Penny Pennington,Banking and Financial Services,1922.0,Missouri,9
710,Edward Jones,50000.0, Missouri,Penny Pennington,Banking and Financial Services,1922.0,North Carolina,42
711,Edward Jones,50000.0, Missouri,Penny Pennington,Banking and Financial Services,1922.0,Texas,53
712,Edwards Lifesciences,15700.0, California,Michael A. Mussallem,Health Care,1958.0,California,68
713,Einstein Healthcare Network,12000.0, Pennsylvania,Ken Levitan,Health Care,1866.0,Pennsylvania,88
714,Eisenhower Medical Center,12000.0, California,Martin Massiello,Health Care,1966.0,California,26
715,Electronic Theatre Controls,1400.0, Wisconsin,Dick Titus,Electronics,1975.0,Wisconsin,25
716,Elevance Health,83400.0, Indiana,Gail K. Boudreaux,Insurance,2004.0,Indiana,23
717,Elevance Health,83400.0, Indiana,Gail K. Boudreaux,Insurance,2004.0,Missouri,72
718,"Elk Grove Unified School District, CA",6538.0, California,Christopher R. Hoffman,Education,1866.0,California,22
719,EMC Insurance Companies,5805.0, Iowa,Scott Jean,Insurance,1911.0,Iowa,11
720,Emerson Electric,86700.0, Missouri,Lal Karsanbhai,"Engineering, Manufacturing",1890.0,Iowa,10
721,Emerson Electric,86700.0, Missouri,Lal Karsanbhai,"Engineering, Manufacturing",1890.0,Minnesota,25
722,Emerson Electric,86700.0, Missouri,Lal Karsanbhai,"Engineering, Manufacturing",1890.0,Missouri,7
723,Emerson Electric,86700.0, Missouri,Lal Karsanbhai,"Engineering, Manufacturing",1890.0,Pennsylvania,14
724,Emory Healthcare,24000.0, Georgia,Jonathan S. Lewin,Health Care,1905.0,Georgia,18
725,Emory University,32594.0, Georgia,Gregory L. Fenves,Education,1836.0,Georgia,4
726,Encompass Health Home Health,18000.0, Alabama,Mark Tarr,Health Care,1984.0,Tennessee,47
727,Engineered Floors,4000.0, Georgia,Robert E. Shaw,"Engineering, Manufacturing",2009.0,Georgia,19
728,Englewood Hospital and Medical Center,12000.0, New Jersey,Warren Geller,Health Care,1890.0,New Jersey,24
729,Entergy,12500.0, Louisiana,Leo Denault,Utilities,1913.0,Arkansas,7
730,Entergy,12500.0, Louisiana,Leo Denault,Utilities,1913.0,Louisiana,15
731,Enterprise Holdings,80000.0, Missouri,Chrissy Taylor,"Travel, Hotels, Restaurants, Leisure",1957.0,Indiana,60
732,Enterprise Holdings,80000.0, Missouri,Chrissy Taylor,"Travel, Hotels, Restaurants, Leisure",1957.0,Missouri,37
733,Enterprise Holdings,80000.0, Missouri,Chrissy Taylor,"Travel, Hotels, Restaurants, Leisure",1957.0,Nevada,27
734,Enterprise Holdings,80000.0, Missouri,Chrissy Taylor,"Travel, Hotels, Restaurants, Leisure",1957.0,Ohio,90
735,Enterprise Holdings,80000.0, Missouri,Chrissy Taylor,"Travel, Hotels, Restaurants, Leisure",1957.0,Tennessee,66
736,Entrata,2345.0, Utah,Adam Edmunds,"IT, Internet, Software & Services",2003.0,Utah,29
737,Equifax,11400.0, Georgia,Mark Begor,Business Services & Supplies,1899.0,Georgia,96
738,Erie County,22217.0, New York,Mark C. Poloncarz,Government Services,1961.0,New York,70
739,Erie Insurance,5805.0, Pennsylvania,Timothy G. NeCastro,Insurance,1925.0,Pennsylvania,21
740,Erlanger Health System,12000.0, Tennessee,William L. Jackson,Health Care,1889.0,Tennessee,24
741,EY,300000.0, United Kingdom,Carmine Di Sibio,Professional Services,1989.0,Georgia,54
742,EY,300000.0, United Kingdom,Carmine Di Sibio,Professional Services,1989.0,Illinois,82
743,EY,300000.0, United Kingdom,Carmine Di Sibio,Professional Services,1989.0,New Jersey,63
744,EY,300000.0, United Kingdom,Carmine Di Sibio,Professional Services,1989.0,Ohio,29
745,EY,300000.0, United Kingdom,Carmine Di Sibio,Professional Services,1989.0,Pennsylvania,90
746,Eskenazi Health,1001.0, Indiana,Lisa E. Harris M.D.,Health Care,1855.0,Indiana,20
747,Essentia Health,13800.0, Minnesota,David C. Herman,Health Care,2003.0,Minnesota,60
748,Estes Express Line,21700.0, Virginia,Rob Estes,Transportation and Logistics,1931.0,South Carolina,12
749,Evangelical Community Hospital,1900.0, Pennsylvania,Kendra A. Aucker,Health Care,1926.0,Pennsylvania,34
750,"Evansville Vanderburgh School Corp, Evansville, IN",3400.0, Indiana,David B. Smith,Education,1812.0,Indiana,72
751,Eversource Energy,9227.0, Connecticut,James J. Judge,Utilities,1996.0,Connecticut,36
752,Exact Sciences,5000.0, Wisconsin,Kevin Conroy,Health Care,1995.0,Wisconsin,3
753,Excellus BlueCross BlueShield,4000.0, New York,James R. Reed,Insurance,1932.0,New York,19
754,Exelon,31518.0, Illinois,Chris M. Crane,Utilities,2000.0,Illinois,50
755,Exelon,31518.0, Illinois,Chris M. Crane,Utilities,2000.0,Maryland,20
756,Exelon,31518.0, Illinois,Chris M. Crane,Utilities,2000.0,New Jersey,27
757,Exelon,31518.0, Illinois,Chris M. Crane,Utilities,2000.0,Pennsylvania,58
758,ExxonMobil,63000.0, Texas,Darren W. Woods,"Construction, Oil & Gas Operations, Mining and Chemicals",1999.0,Illinois,98
759,Fabick Cat,1300.0, Missouri,Doug Fabick,"Engineering, Manufacturing",1917.0,Missouri,8
760,Fairfax County,12000.0, Virginia,Bryan Hill,Government Services,1742.0,Virginia,47
761,Fairfax County Public Schools,24839.0, Virginia,Scott Brabrand,Education,1870.0,Virginia,39
762,Fairfield Public Schools,1700.0, Connecticut,Mike Cummins,Education,1926.0,Connecticut,8
763,Fareway Stores,11000.0, Iowa,,Retail and Wholesale,1938.0,Iowa,18
764,Farm Bureau Insurance of Tennessee,350.0, California,Jeff Panell,Insurance,1928.0,Tennessee,16
765,Fastenal,21000.0, Minnesota,Daniel L. Florness,Retail and Wholesale,1967.0,Minnesota,53
766,Fayette County Public Schools (KY),5620.0, Kentucky,Demetrus Liggins,Education,1873.0,Kentucky,32
767,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Alabama,30
768,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Alaska,4
769,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Arizona,75
770,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Arkansas,24
771,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Colorado,41
772,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Georgia,37
773,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Indiana,49
774,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Iowa,2
775,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Kansas,23
776,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Kentucky,19
777,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Louisiana,29
778,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Massachusetts,55
779,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Michigan,61
780,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Minnesota,28
781,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Missouri,39
782,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,New Jersey,49
783,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,New York,93
784,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,North Carolina,66
785,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Ohio,92
786,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Oklahoma,13
787,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Oregon,21
788,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Pennsylvania,55
789,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,South Carolina,28
790,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Tennessee,54
791,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Virginia,56
792,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,West Virginia,2
793,FedEx,600000.0, Tennessee,Frederick W. Smith,Transportation and Logistics,1971.0,Wisconsin,46
794,Ferguson Enterprises,31000.0, Virginia,Kevin Murphy,Retail and Wholesale,1953.0,Virginia,63
795,Festival Foods,7000.0, Wisconsin,Mark Skogen,Retail and Wholesale,1955.0,Wisconsin,48
796,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,Florida,8
797,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,Massachusetts,8
798,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,New Hampshire,1
799,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,New York,15
800,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,North Carolina,5
801,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,Rhode Island,2
802,Fidelity Investments,52000.0, Massachusetts,Abigail Johnson,Banking and Financial Services,1946.0,Texas,22
803,Fidelity National Information (FIS),55000.0, Florida,Gary Norcross,"IT, Internet, Software & Services",2006.0,Wisconsin,64
804,Fifth Third Bank,19112.0, Ohio,Greg D. Carmichael,Banking and Financial Services,1858.0,Kentucky,22
805,Fifth Third Bank,19112.0, Ohio,Greg D. Carmichael,Banking and Financial Services,1858.0,Michigan,57
806,FireKeepers Casino Hotel,1000.0, Michigan,Kathy George,"Travel, Hotels, Restaurants, Leisure",2009.0,Michigan,50
807,First Citizens Bank (NC),6846.0, North Carolina,"Frank B. Holding, Jr.",Banking and Financial Services,1898.0,North Carolina,38
808,First Horizon,8000.0, Tennessee,Bryan Jordan,Banking and Financial Services,1864.0,Tennessee,52
809,FirstEnergy,12000.0, Ohio,Steven E. Strah,Utilities,1997.0,Ohio,58
810,FirstEnergy,12000.0, Ohio,Steven E. Strah,Utilities,1997.0,Pennsylvania,81
811,FirstEnergy,12000.0, Ohio,Steven E. Strah,Utilities,1997.0,West Virginia,12
812,Fleet Farm,6600.0, Wisconsin,John Schaefer,Retail and Wholesale,1955.0,Wisconsin,36
813,Flex-N-Gate,25000.0, Illinois,Sahid Khan,Automotive (Automotive and Suppliers),1956.0,Michigan,3
814,Florida Blue,5805.0, Florida,Patrick J. Geraghty,Insurance,1945.0,Florida,47
815,Florida Cancer Specialists & Research Institute,12000.0, Florida,Nathan Walcker,Health Care,1984.0,Florida,84
816,Florida International University,10000.0, Florida,Mark B. Rosenberg,Education,1967.0,Florida,30
817,Floyd Health System,3000.0, Georgia,Kurt Struenkel,Health Care,1942.0,Georgia,90
818,Foot Locker,49933.0, New York,Richard Johnson,"Clothing, Shoes, Sports Equipment",1974.0,Florida,83
819,Foot Locker,49933.0, New York,Richard Johnson,"Clothing, Shoes, Sports Equipment",1974.0,New York,58
820,Foot Locker,49933.0, New York,Richard Johnson,"Clothing, Shoes, Sports Equipment",1974.0,Texas,89
821,Ford Motor,26000.0, Michigan,James D. Farley Jr.,Automotive (Automotive and Suppliers),1903.0,Illinois,72
822,Ford Motor,26000.0, Michigan,James D. Farley Jr.,Automotive (Automotive and Suppliers),1903.0,Kentucky,24
823,Ford Motor,26000.0, Michigan,James D. Farley Jr.,Automotive (Automotive and Suppliers),1903.0,Michigan,11
824,Ford Motor,26000.0, Michigan,James D. Farley Jr.,Automotive (Automotive and Suppliers),1903.0,Missouri,13
825,Ford Motor,26000.0, Michigan,James D. Farley Jr.,Automotive (Automotive and Suppliers),1903.0,Ohio,6
826,Forrest General Hospital,3301.0, Mississippi,Andy Woodard,Health Care,1952.0,Mississippi,11
827,Fort Mill School District,2500.0, South Carolina,James Epps Jr.,Education,1930.0,South Carolina,8
828,Fort Wayne Community Schools,4000.0, Indiana,Mark D. Daniel,Education,1857.0,Indiana,55
829,Four Seasons Hotels and Resorts,45000.0, Canada,John Davison,"Travel, Hotels, Restaurants, Leisure",1960.0,Florida,35
830,Four Seasons Hotels and Resorts,45000.0, Canada,John Davison,"Travel, Hotels, Restaurants, Leisure",1960.0,Texas,56
831,Franciscan Health,12000.0, Indiana,Jim Callaghan,Health Care,1974.0,Indiana,37
832,Frederick County Government,22217.0, Maryland,Jan H. Gardner,Government Services,1748.0,Maryland,12
833,Frederick County Public Schools,6243.0, Maryland,Brad Young,Education,1889.0,Maryland,51
834,Freeport-McMoRan,24700.0, Arizona,Richard Adkerson,"Construction, Oil & Gas Operations, Mining and Chemicals",1897.0,Arizona,58
835,Fresenius Medical Care ,122909.0, Massachusetts,Rice Powell,Health Care,1996.0,Alabama,44
836,Fresenius Medical Care ,122909.0, Massachusetts,Rice Powell,Health Care,1996.0,Arizona,63
837,Fresenius Medical Care ,122909.0, Massachusetts,Rice Powell,Health Care,1996.0,Illinois,59
838,Froedtert Health,17959.0, Wisconsin,Catherine Jacobson,Health Care,1893.0,Wisconsin,30
839,Frost Bank,4553.0, Texas,Phillip D. Green,Banking and Financial Services,1868.0,Texas,55
840,Fujifilm Holdings America,37151.0, New York,Teiichi Goto,Electronics,1934.0,North Carolina,9
